scenario,algorithm,requested_vehicle_count,witness_count,slot_count,delay_ms,jitter_ms,loss_rate,duplicate_rate,reorder_rate,gossip_period_ms,communication_range_m,runs,error_runs,attack_runs,observable_attack_runs,detected_runs,detection_rate_total,detection_rate_observable,mean_detection_e2e_ms,p95_detection_e2e_ms,mean_detection_e2e_simulated_ms,p95_detection_e2e_simulated_ms,mean_detection_logic_ms,p95_detection_logic_ms,mean_detection_logic_wall_ms,p95_detection_logic_wall_ms,mean_attack_to_evidence_wall_ms,p95_attack_to_evidence_wall_ms,mean_background_throughput_per_sec,mean_background_peak_memory_kib,total_evidence_count
equivocation,aimer,10,5,5,0,0,0.0,0.0,0.0,50,120.0,2,0,2,2,2,1.0,1.0,50.0,50.0,50.0,50.0,4.7513000000000005,4.81934,4.7513000000000005,4.81934,42.500249999999994,45.242144999999994,,0.0,16
equivocation,aimer,10,5,5,0,0,0.0,0.0,0.0,50,50.0,2,0,2,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,aimer,10,5,5,50,0,0.0,0.0,0.0,50,120.0,2,0,2,2,2,1.0,1.0,150.0,150.0,150.0,150.0,4.9445,5.21432,4.9445,5.21432,55.670899999999996,69.85525999999999,,0.0,16
equivocation,aimer,10,5,5,50,0,0.0,0.0,0.0,50,50.0,2,0,2,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,aimer,100,5,5,0,0,0.0,0.0,0.0,50,120.0,2,0,2,2,2,1.0,1.0,50.0,50.0,50.0,50.0,4.665900000000001,4.6746300000000005,4.665900000000001,4.6746300000000005,41.00515,41.760565,,0.0,16
equivocation,aimer,100,5,5,0,0,0.0,0.0,0.0,50,50.0,2,0,2,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,aimer,100,5,5,50,0,0.0,0.0,0.0,50,120.0,2,0,2,2,2,1.0,1.0,150.0,150.0,150.0,150.0,4.76455,4.873405000000001,4.76455,4.873405000000001,45.0464,46.27238,,0.0,16
equivocation,aimer,100,5,5,50,0,0.0,0.0,0.0,50,50.0,2,0,2,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,haetae,10,5,5,0,0,0.0,0.0,0.0,50,120.0,2,0,2,2,2,1.0,1.0,50.0,50.0,50.0,50.0,0.22344999999999998,0.240325,0.22344999999999998,0.240325,12.4819,15.78859,,0.0,16
equivocation,haetae,10,5,5,0,0,0.0,0.0,0.0,50,50.0,2,0,2,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,haetae,10,5,5,50,0,0.0,0.0,0.0,50,120.0,2,0,2,2,2,1.0,1.0,150.0,150.0,150.0,150.0,0.21889999999999998,0.23492,0.21889999999999998,0.23492,17.477999999999998,23.854589999999998,,0.0,16
equivocation,haetae,10,5,5,50,0,0.0,0.0,0.0,50,50.0,2,0,2,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,haetae,100,5,5,0,0,0.0,0.0,0.0,50,120.0,2,0,2,2,2,1.0,1.0,50.0,50.0,50.0,50.0,0.21239999999999998,0.21798,0.21239999999999998,0.21798,10.9575,11.022749999999998,,0.0,16
equivocation,haetae,100,5,5,0,0,0.0,0.0,0.0,50,50.0,2,0,2,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,haetae,100,5,5,50,0,0.0,0.0,0.0,50,120.0,2,0,2,2,2,1.0,1.0,150.0,150.0,150.0,150.0,0.20235,0.205095,0.20235,0.205095,14.8866,16.66716,,0.0,16
equivocation,haetae,100,5,5,50,0,0.0,0.0,0.0,50,50.0,2,0,2,0,0,0.0,,,,,,,,,,,,,0.0,0
