scenario,algorithm,requested_vehicle_count,witness_count,slot_count,delay_ms,jitter_ms,loss_rate,duplicate_rate,reorder_rate,gossip_period_ms,communication_range_m,runs,error_runs,attack_runs,observable_attack_runs,detected_runs,detection_rate_total,detection_rate_observable,mean_detection_e2e_ms,p95_detection_e2e_ms,mean_detection_e2e_simulated_ms,p95_detection_e2e_simulated_ms,mean_detection_logic_ms,p95_detection_logic_ms,mean_detection_logic_wall_ms,p95_detection_logic_wall_ms,mean_attack_to_evidence_wall_ms,p95_attack_to_evidence_wall_ms,mean_background_throughput_per_sec,mean_background_peak_memory_kib,total_evidence_count
equivocation,mock,10,5,5,0,0,0.0,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,0.10886666666666667,0.14506000000000002,0.10886666666666667,0.14506000000000002,4.223833333333333,5.71271,,0.0,24
equivocation,mock,10,5,5,0,0,0.0,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,10,5,5,0,0,0.05,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,0.082,0.08817,0.082,0.08817,3.0728666666666666,3.1436900000000003,,0.0,23
equivocation,mock,10,5,5,0,0,0.05,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,10,5,5,50,0,0.0,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,0.1165,0.13991,0.1165,0.13991,4.3260000000000005,5.11127,,0.0,24
equivocation,mock,10,5,5,50,0,0.0,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,10,5,5,50,0,0.05,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,0.0773,0.08388000000000001,0.0773,0.08388000000000001,2.7514000000000003,2.84051,,0.0,23
equivocation,mock,10,5,5,50,0,0.05,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,100,5,5,0,0,0.0,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,0.08766666666666667,0.09047000000000001,0.08766666666666667,0.09047000000000001,3.4838,4.109,,0.0,24
equivocation,mock,100,5,5,0,0,0.0,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,100,5,5,0,0,0.05,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,0.13196666666666665,0.20439,0.13196666666666665,0.20439,4.3141,6.56001,,0.0,23
equivocation,mock,100,5,5,0,0,0.05,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,100,5,5,50,0,0.0,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,0.07963333333333333,0.08283,0.07963333333333333,0.08283,2.9511333333333334,3.0668499999999996,,0.0,24
equivocation,mock,100,5,5,50,0,0.0,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,100,5,5,50,0,0.05,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,0.12216666666666666,0.18250999999999998,0.12216666666666666,0.18250999999999998,3.5649,4.35708,,0.0,23
equivocation,mock,100,5,5,50,0,0.05,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,50,5,5,0,0,0.0,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,0.08876666666666666,0.09189,0.08876666666666666,0.09189,3.2236,3.4724900000000005,,0.0,24
equivocation,mock,50,5,5,0,0,0.0,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,50,5,5,0,0,0.05,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,50.0,50.0,50.0,50.0,0.08803333333333334,0.09254,0.08803333333333334,0.09254,2.9111333333333334,3.20783,,0.0,23
equivocation,mock,50,5,5,0,0,0.05,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,50,5,5,50,0,0.0,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,0.0851,0.09845,0.0851,0.09845,3.0346999999999995,3.60529,,0.0,24
equivocation,mock,50,5,5,50,0,0.0,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
equivocation,mock,50,5,5,50,0,0.05,0.0,0.0,50,120.0,3,0,3,3,3,1.0,1.0,150.0,150.0,150.0,150.0,0.08926666666666666,0.10694000000000001,0.08926666666666666,0.10694000000000001,2.9321,3.29773,,0.0,23
equivocation,mock,50,5,5,50,0,0.05,0.0,0.0,50,50.0,3,0,3,0,0,0.0,,,,,,,,,,,,,0.0,0
